agent_id,task_type,capability_match,agent_current_load,agent_success_rate,task_complexity,duration_ms
agent_2,image_analysis,0,2,0.9873,1.8,15402
agent_1,code_generation,0,3,0.9414,1.5,13372
agent_2,data_analysis,0,3,0.9027,1.2,12861
agent_3,image_analysis,1,2,0.9012,1.8,4609
agent_1,code_generation,0,2,0.9003,1.5,12047
agent_3,code_generation,0,0,0.9379,1.5,7907
agent_2,data_analysis,0,0,0.9818,1.2,8069
agent_1,text_processing,1,0,0.9393,1.0,1805
agent_3,code_generation,0,2,0.9822,1.5,11548
agent_2,data_analysis,0,2,0.9367,1.2,10730
agent_2,data_analysis,0,3,0.9597,1.2,12331
agent_3,text_processing,0,2,0.9252,1.0,6697
agent_3,text_processing,0,0,0.9262,1.0,5585
agent_1,code_generation,0,3,0.9322,1.5,11952
agent_3,code_generation,0,0,0.9066,1.5,8121
agent_3,image_analysis,1,1,0.9116,1.8,3522
agent_3,image_analysis,1,1,0.9301,1.8,3705
agent_1,code_generation,0,0,0.9727,1.5,9229
agent_1,text_processing,1,3,0.9664,1.0,2827
agent_1,text_processing,1,0,0.9804,1.0,2053
agent_1,image_analysis,0,1,0.9821,1.8,13437
agent_1,code_generation,0,3,0.9687,1.5,12559
agent_2,data_analysis,0,0,0.9362,1.2,7975
agent_1,code_generation,0,2,0.9741,1.5,11667
agent_3,text_processing,0,1,0.9738,1.0,6021
agent_2,text_processing,1,1,0.909,1.0,2561
agent_2,text_processing,1,0,0.9477,1.0,2348
agent_1,image_analysis,0,1,0.953,1.8,13579
agent_3,code_generation,0,2,0.9092,1.5,9973
agent_3,data_analysis,1,3,0.9675,1.2,3137
agent_1,image_analysis,0,2,0.9795,1.8,14963
agent_2,data_analysis,0,2,0.9491,1.2,11001
agent_2,text_processing,1,2,0.9394,1.0,2977
agent_3,code_generation,0,0,0.9848,1.5,7796
agent_3,image_analysis,1,3,0.943,1.8,4581
agent_1,data_analysis,1,3,0.9893,1.2,3199
agent_3,data_analysis,1,3,0.9594,1.2,3286
agent_2,image_analysis,0,3,0.9146,1.8,19554
agent_1,data_analysis,1,3,0.981,1.2,3230
agent_3,image_analysis,1,3,0.9867,1.8,4744
agent_1,image_analysis,0,3,0.9664,1.8,16455
agent_2,data_analysis,0,0,0.9624,1.2,8780
agent_1,text_processing,1,2,0.9405,1.0,2714
agent_2,code_generation,1,0,0.9614,1.5,3301
agent_3,text_processing,0,2,0.919,1.0,6923
agent_3,code_generation,0,0,0.9657,1.5,8747
agent_2,data_analysis,0,2,0.9549,1.2,11117
agent_1,image_analysis,0,0,0.982,1.8,10155
agent_3,text_processing,0,2,0.9896,1.0,6811
agent_3,text_processing,0,3,0.9032,1.0,7199
agent_1,data_analysis,1,1,0.9386,1.2,2955
agent_3,code_generation,0,2,0.9393,1.5,10427
agent_3,code_generation,0,1,0.9385,1.5,10105
agent_3,text_processing,0,3,0.974,1.0,8192
agent_3,text_processing,0,3,0.9201,1.0,7122
agent_2,text_processing,1,0,0.9144,1.0,2275
agent_3,code_generation,0,1,0.9018,1.5,9912
agent_2,text_processing,1,3,0.9256,1.0,3415
agent_1,text_processing,1,2,0.987,1.0,2756
agent_1,text_processing,1,3,0.9344,1.0,2792
agent_1,code_generation,0,2,0.9007,1.5,12396
agent_3,data_analysis,1,2,0.9049,1.2,3003
agent_2,text_processing,1,1,0.9251,1.0,2874
agent_3,image_analysis,1,0,0.9841,1.8,3207
agent_1,code_generation,0,0,0.9771,1.5,8186
agent_2,image_analysis,0,2,0.9644,1.8,17402
agent_2,data_analysis,0,3,0.9448,1.2,11491
agent_2,image_analysis,0,2,0.9283,1.8,16637
agent_2,text_processing,1,3,0.9244,1.0,3757
agent_1,code_generation,0,0,0.9489,1.5,8918
agent_3,code_generation,0,0,0.9095,1.5,7512
agent_1,image_analysis,0,0,0.9549,1.8,11002
agent_1,code_generation,0,3,0.9088,1.5,12310
agent_2,image_analysis,0,1,0.9389,1.8,13809
agent_1,text_processing,1,3,0.9886,1.0,2969
agent_1,code_generation,0,1,0.9742,1.5,10962
agent_1,data_analysis,1,3,0.9272,1.2,3514
agent_2,data_analysis,0,1,0.9852,1.2,10130
agent_1,code_generation,0,0,0.9266,1.5,8199
agent_3,text_processing,0,2,0.9173,1.0,6344
agent_1,text_processing,1,2,0.92,1.0,2562
agent_1,data_analysis,1,2,0.9867,1.2,3426
agent_1,text_processing,1,1,0.9297,1.0,2429
agent_2,text_processing,1,1,0.9461,1.0,2648
agent_1,text_processing,1,1,0.942,1.0,2308
agent_2,code_generation,1,0,0.9263,1.5,3754
agent_3,data_analysis,1,1,0.9274,1.2,2423
agent_1,data_analysis,1,2,0.9679,1.2,2867
agent_3,data_analysis,1,3,0.9486,1.2,3048
agent_2,code_generation,1,3,0.9707,1.5,4805
agent_2,data_analysis,0,2,0.9056,1.2,10821
agent_1,data_analysis,1,3,0.9032,1.2,3748
agent_1,data_analysis,1,0,0.9846,1.2,2584
agent_2,code_generation,1,1,0.9049,1.5,3755
agent_3,code_generation,0,0,0.9788,1.5,8681
agent_3,data_analysis,1,2,0.9702,1.2,3001
agent_3,image_analysis,1,2,0.9862,1.8,4325
agent_2,code_generation,1,0,0.9849,1.5,3602
agent_3,text_processing,0,0,0.9888,1.0,5790
agent_3,data_analysis,1,0,0.9324,1.2,2268
agent_3,text_processing,0,0,0.9439,1.0,5338
agent_3,text_processing,0,3,0.934,1.0,7988
agent_1,code_generation,0,0,0.9191,1.5,8670
agent_2,data_analysis,0,2,0.9689,1.2,11792
agent_1,text_processing,1,3,0.9685,1.0,2763
agent_3,data_analysis,1,1,0.9271,1.2,2276
agent_1,data_analysis,1,3,0.929,1.2,3730
agent_3,text_processing,0,3,0.9469,1.0,8490
agent_2,image_analysis,0,1,0.9556,1.8,13930
agent_1,data_analysis,1,0,0.9118,1.2,2335
agent_2,text_processing,1,3,0.9641,1.0,3153
agent_1,data_analysis,1,3,0.9609,1.2,3235
agent_2,image_analysis,0,3,0.9328,1.8,20528
agent_3,code_generation,0,2,0.9564,1.5,11251
agent_2,code_generation,1,3,0.9781,1.5,5177
agent_3,code_generation,0,2,0.941,1.5,11541
agent_2,text_processing,1,2,0.9235,1.0,3077
agent_1,code_generation,0,2,0.9414,1.5,11421
agent_3,data_analysis,1,2,0.9404,1.2,2534
agent_3,text_processing,0,1,0.9633,1.0,6426
agent_2,code_generation,1,0,0.9469,1.5,3945
agent_2,code_generation,1,2,0.989,1.5,4581
agent_1,data_analysis,1,3,0.9231,1.2,3417
agent_2,data_analysis,0,3,0.9109,1.2,12870
agent_2,code_generation,1,3,0.9734,1.5,4774
agent_3,image_analysis,1,0,0.9634,1.8,3413
agent_3,data_analysis,1,1,0.9159,1.2,2698
agent_3,data_analysis,1,2,0.9656,1.2,3044
agent_1,text_processing,1,3,0.987,1.0,2681
agent_3,text_processing,0,2,0.9378,1.0,7652
agent_2,image_analysis,0,0,0.9395,1.8,11901
agent_1,text_processing,1,1,0.9457,1.0,2453
agent_1,text_processing,1,2,0.904,1.0,2407
agent_2,text_processing,1,0,0.905,1.0,2321
agent_2,image_analysis,0,1,0.9623,1.8,13914
agent_1,code_generation,0,1,0.9243,1.5,9414
agent_3,data_analysis,1,1,0.974,1.2,2685
agent_1,code_generation,0,1,0.9474,1.5,10778
agent_2,image_analysis,0,2,0.9718,1.8,16580
agent_2,text_processing,1,0,0.9821,1.0,2423
agent_3,text_processing,0,1,0.9808,1.0,5662
agent_3,text_processing,0,1,0.9284,1.0,6703
agent_1,code_generation,0,2,0.9832,1.5,11914
agent_3,text_processing,0,0,0.9166,1.0,5399
agent_2,text_processing,1,2,0.9539,1.0,2868
agent_3,text_processing,0,3,0.9524,1.0,8304
agent_3,image_analysis,1,1,0.9348,1.8,4023
agent_3,data_analysis,1,1,0.9352,1.2,2422
agent_3,image_analysis,1,3,0.923,1.8,4915
agent_2,image_analysis,0,3,0.9553,1.8,18178
agent_2,code_generation,1,1,0.9421,1.5,4235
agent_2,image_analysis,0,3,0.9255,1.8,20220
agent_1,code_generation,0,3,0.9477,1.5,13063
agent_3,data_analysis,1,2,0.9351,1.2,2766
agent_3,code_generation,0,3,0.9306,1.5,12681
agent_2,text_processing,1,1,0.9309,1.0,2731
agent_2,code_generation,1,1,0.9002,1.5,3832
agent_2,image_analysis,0,3,0.9108,1.8,20610
agent_1,code_generation,0,0,0.9346,1.5,9213
agent_2,image_analysis,0,3,0.9818,1.8,19884
agent_2,text_processing,1,0,0.9107,1.0,2616
agent_1,code_generation,0,1,0.968,1.5,9334
agent_1,image_analysis,0,3,0.9733,1.8,16131
agent_3,data_analysis,1,3,0.9193,1.2,2887
agent_1,text_processing,1,2,0.9345,1.0,2725
agent_3,image_analysis,1,0,0.9504,1.8,3166
agent_3,text_processing,0,0,0.9107,1.0,5654
agent_3,text_processing,0,2,0.9178,1.0,6360
agent_1,code_generation,0,3,0.9841,1.5,13609
agent_2,code_generation,1,1,0.9591,1.5,3909
agent_2,text_processing,1,0,0.9594,1.0,2447
agent_1,image_analysis,0,0,0.9026,1.8,10295
agent_1,data_analysis,1,0,0.9435,1.2,2237
agent_3,code_generation,0,3,0.9588,1.5,12499
agent_1,data_analysis,1,1,0.9012,1.2,2750
agent_1,data_analysis,1,1,0.9087,1.2,2713
agent_1,data_analysis,1,0,0.9605,1.2,2188
agent_3,image_analysis,1,3,0.9825,1.8,4774
agent_1,code_generation,0,0,0.9163,1.5,8574
agent_1,data_analysis,1,2,0.9628,1.2,2840
agent_1,data_analysis,1,1,0.9168,1.2,2576
agent_1,code_generation,0,2,0.914,1.5,11608
agent_2,text_processing,1,3,0.9576,1.0,3359
agent_2,text_processing,1,0,0.9116,1.0,2580
agent_2,text_processing,1,2,0.954,1.0,3013
agent_3,data_analysis,1,1,0.9554,1.2,2511
agent_2,code_generation,1,3,0.9701,1.5,5563
agent_1,image_analysis,0,0,0.9486,1.8,10122
agent_3,code_generation,0,1,0.9598,1.5,9850
agent_1,code_generation,0,1,0.9037,1.5,10824
agent_3,code_generation,0,3,0.9709,1.5,12307
agent_3,code_generation,0,3,0.9054,1.5,11108
agent_3,data_analysis,1,3,0.9391,1.2,2866
agent_3,data_analysis,1,1,0.9358,1.2,2332
agent_2,text_processing,1,1,0.9674,1.0,2558
agent_2,code_generation,1,1,0.9712,1.5,4430
agent_3,data_analysis,1,0,0.9045,1.2,2165
agent_1,code_generation,0,2,0.9669,1.5,12183
agent_2,data_analysis,0,3,0.952,1.2,12664
agent_3,image_analysis,1,0,0.9533,1.8,3127
agent_1,data_analysis,1,2,0.928,1.2,3038
agent_1,image_analysis,0,2,0.9666,1.8,13435
agent_3,code_generation,0,0,0.9762,1.5,8437
agent_1,image_analysis,0,1,0.9357,1.8,12594
agent_2,text_processing,1,2,0.9857,1.0,2878
agent_3,image_analysis,1,3,0.9801,1.8,4827
agent_2,code_generation,1,3,0.935,1.5,5506
agent_3,data_analysis,1,1,0.9516,1.2,2463
agent_2,text_processing,1,1,0.9165,1.0,2921
agent_1,image_analysis,0,0,0.9309,1.8,9721
agent_2,code_generation,1,2,0.9451,1.5,4529
agent_3,text_processing,0,2,0.9108,1.0,6979
agent_3,text_processing,0,0,0.9496,1.0,5819
agent_3,text_processing,0,3,0.9569,1.0,7048
agent_1,data_analysis,1,3,0.9058,1.2,3577
agent_3,text_processing,0,2,0.9647,1.0,7648
agent_1,code_generation,0,0,0.9654,1.5,8573
agent_1,image_analysis,0,0,0.9594,1.8,10396
agent_1,image_analysis,0,3,0.9698,1.8,14307
agent_1,code_generation,0,0,0.9372,1.5,8263
agent_1,code_generation,0,1,0.9899,1.5,10440
agent_3,text_processing,0,0,0.9067,1.0,5886
agent_3,text_processing,0,1,0.9518,1.0,6102
agent_3,text_processing,0,2,0.9767,1.0,7432
agent_3,code_generation,0,1,0.9264,1.5,9637
agent_1,image_analysis,0,2,0.9054,1.8,14742
agent_3,data_analysis,1,1,0.9164,1.2,2672
agent_3,text_processing,0,1,0.9095,1.0,6766
agent_1,image_analysis,0,1,0.9156,1.8,12781
agent_1,data_analysis,1,1,0.9585,1.2,2531
agent_2,image_analysis,0,1,0.9733,1.8,16043
agent_1,data_analysis,1,3,0.979,1.2,3607
agent_1,code_generation,0,1,0.9663,1.5,11085
agent_1,code_generation,0,2,0.9883,1.5,10821
agent_2,code_generation,1,3,0.9516,1.5,5046
agent_2,code_generation,1,1,0.9297,1.5,4398
agent_3,data_analysis,1,2,0.9611,1.2,2958
agent_1,image_analysis,0,0,0.9363,1.8,11849
agent_2,code_generation,1,1,0.9163,1.5,3844
agent_1,code_generation,0,3,0.9658,1.5,12302
agent_2,code_generation,1,0,0.9302,1.5,3249
agent_3,data_analysis,1,0,0.9599,1.2,2114
agent_3,data_analysis,1,3,0.9306,1.2,3267
agent_2,data_analysis,0,0,0.9561,1.2,8631
agent_3,text_processing,0,2,0.9413,1.0,7306
agent_1,text_processing,1,3,0.9265,1.0,3113
agent_1,image_analysis,0,3,0.9641,1.8,15470
agent_1,image_analysis,0,2,0.9439,1.8,15352
agent_1,code_generation,0,0,0.9119,1.5,9087
agent_1,image_analysis,0,0,0.9445,1.8,11842
agent_2,code_generation,1,2,0.9494,1.5,4216
agent_1,data_analysis,1,1,0.924,1.2,2528
agent_1,data_analysis,1,2,0.9757,1.2,3144
agent_3,text_processing,0,3,0.9448,1.0,7929
agent_3,code_generation,0,3,0.9739,1.5,10607
agent_3,image_analysis,1,0,0.9542,1.8,3195
agent_3,image_analysis,1,0,0.9376,1.8,3228
agent_1,code_generation,0,3,0.9884,1.5,12237
agent_1,image_analysis,0,3,0.9492,1.8,16695
agent_1,text_processing,1,3,0.9122,1.0,3048
agent_1,data_analysis,1,3,0.9289,1.2,3345
agent_3,data_analysis,1,0,0.9178,1.2,2140
agent_2,data_analysis,0,3,0.9393,1.2,12885
agent_3,data_analysis,1,2,0.9804,1.2,3008
agent_1,code_generation,0,1,0.9774,1.5,10186
agent_1,image_analysis,0,3,0.9519,1.8,17022
agent_1,code_generation,0,2,0.9256,1.5,10710
agent_3,text_processing,0,2,0.9673,1.0,7103
agent_1,code_generation,0,0,0.9826,1.5,9310
agent_3,text_processing,0,2,0.9107,1.0,6568
agent_1,code_generation,0,2,0.9717,1.5,10563
agent_3,code_generation,0,2,0.9551,1.5,11078
agent_3,data_analysis,1,0,0.9298,1.2,2016
agent_1,data_analysis,1,2,0.9,1.2,3241
agent_2,image_analysis,0,2,0.9406,1.8,16222
agent_2,code_generation,1,1,0.9368,1.5,4415
agent_3,data_analysis,1,2,0.9155,1.2,2890
agent_2,code_generation,1,1,0.9503,1.5,3858
agent_1,data_analysis,1,3,0.9414,1.2,3640
agent_1,image_analysis,0,2,0.9059,1.8,14801
agent_1,data_analysis,1,2,0.9784,1.2,2850
agent_2,text_processing,1,0,0.985,1.0,2162
agent_1,image_analysis,0,1,0.9679,1.8,11946
agent_2,data_analysis,0,1,0.9555,1.2,9281
agent_1,text_processing,1,2,0.9394,1.0,2702
agent_1,image_analysis,0,3,0.9003,1.8,16675
agent_1,text_processing,1,0,0.9027,1.0,2064
agent_3,text_processing,0,2,0.9443,1.0,6754
agent_3,image_analysis,1,3,0.9601,1.8,4591
agent_3,text_processing,0,2,0.9675,1.0,7437
agent_2,code_generation,1,2,0.958,1.5,5030
agent_1,data_analysis,1,2,0.9042,1.2,2908
agent_1,image_analysis,0,2,0.9127,1.8,14691
agent_3,data_analysis,1,1,0.9814,1.2,2723
agent_3,code_generation,0,2,0.9614,1.5,11249
agent_3,image_analysis,1,0,0.9784,1.8,3407
agent_3,text_processing,0,1,0.9009,1.0,6473
agent_1,text_processing,1,2,0.951,1.0,2502
agent_1,data_analysis,1,0,0.9274,1.2,2414
agent_2,data_analysis,0,2,0.9397,1.2,12188
agent_2,data_analysis,0,1,0.9047,1.2,10872
agent_1,code_generation,0,3,0.9561,1.5,12560
agent_2,data_analysis,0,2,0.9369,1.2,10913
agent_2,image_analysis,0,1,0.9539,1.8,15710
agent_3,text_processing,0,2,0.9128,1.0,7642
agent_2,image_analysis,0,2,0.9571,1.8,16358
agent_3,image_analysis,1,2,0.9015,1.8,4348
agent_2,code_generation,1,2,0.9825,1.5,4660
agent_2,image_analysis,0,0,0.9752,1.8,12168
agent_2,data_analysis,0,1,0.9804,1.2,9679
agent_2,text_processing,1,2,0.9654,1.0,3230
agent_3,data_analysis,1,3,0.943,1.2,2980
agent_2,image_analysis,0,0,0.97,1.8,13415
agent_2,text_processing,1,0,0.9229,1.0,2388
agent_1,text_processing,1,0,0.9581,1.0,1951
agent_1,image_analysis,0,3,0.964,1.8,16349
agent_3,image_analysis,1,1,0.9122,1.8,3503
agent_2,image_analysis,0,3,0.9049,1.8,18923
agent_2,data_analysis,0,2,0.9697,1.2,10357
agent_2,image_analysis,0,1,0.9539,1.8,15164
agent_3,image_analysis,1,3,0.9133,1.8,4248
agent_3,code_generation,0,1,0.9286,1.5,10159
agent_2,image_analysis,0,3,0.9778,1.8,18026
agent_1,text_processing,1,3,0.9812,1.0,2974
agent_2,data_analysis,0,1,0.9438,1.2,9128
agent_1,data_analysis,1,1,0.9364,1.2,3000
agent_2,image_analysis,0,0,0.9145,1.8,13250
agent_2,image_analysis,0,2,0.9475,1.8,17591
agent_3,text_processing,0,2,0.935,1.0,7272
agent_2,image_analysis,0,3,0.9138,1.8,18917
agent_3,image_analysis,1,2,0.913,1.8,4632
agent_1,code_generation,0,0,0.926,1.5,9134
agent_3,data_analysis,1,0,0.9689,1.2,2308
agent_3,text_processing,0,0,0.9488,1.0,5180
agent_2,data_analysis,0,0,0.9899,1.2,8380
agent_1,data_analysis,1,3,0.9046,1.2,3317
agent_1,code_generation,0,3,0.958,1.5,12087
agent_1,text_processing,1,3,0.9221,1.0,2906
agent_2,text_processing,1,2,0.9817,1.0,2980
agent_2,data_analysis,0,2,0.9028,1.2,10339
agent_3,image_analysis,1,1,0.9589,1.8,3465
agent_1,text_processing,1,0,0.9084,1.0,1869
agent_3,image_analysis,1,0,0.9359,1.8,3301
agent_1,image_analysis,0,1,0.9726,1.8,11720
agent_1,data_analysis,1,3,0.9829,1.2,3178
agent_1,code_generation,0,0,0.9128,1.5,9232
agent_1,image_analysis,0,2,0.971,1.8,14473
agent_3,text_processing,0,0,0.9638,1.0,5290
agent_3,image_analysis,1,0,0.9677,1.8,3391
agent_3,data_analysis,1,0,0.94,1.2,2179
agent_2,code_generation,1,0,0.9211,1.5,3477
agent_1,code_generation,0,1,0.9828,1.5,9758
agent_2,data_analysis,0,1,0.9877,1.2,9655
agent_1,data_analysis,1,2,0.9741,1.2,2928
agent_1,text_processing,1,1,0.9585,1.0,2455
agent_2,text_processing,1,0,0.9819,1.0,2502
agent_2,image_analysis,0,2,0.9137,1.8,16139
agent_1,code_generation,0,2,0.9582,1.5,12502
agent_1,code_generation,0,0,0.9711,1.5,9311
agent_2,data_analysis,0,0,0.9135,1.2,8820
agent_3,data_analysis,1,0,0.9869,1.2,2140
agent_3,code_generation,0,0,0.9219,1.5,7712
agent_2,text_processing,1,1,0.9822,1.0,2802
agent_2,data_analysis,0,3,0.9146,1.2,13181
agent_3,data_analysis,1,3,0.9676,1.2,3043
agent_3,code_generation,0,1,0.9368,1.5,9821
agent_3,code_generation,0,0,0.9498,1.5,7390
agent_1,text_processing,1,0,0.9276,1.0,2103
agent_3,image_analysis,1,1,0.9395,1.8,3529
agent_2,image_analysis,0,0,0.9818,1.8,11735
agent_2,code_generation,1,2,0.9685,1.5,4555
agent_2,data_analysis,0,1,0.9416,1.2,9688
agent_2,data_analysis,0,0,0.9853,1.2,8907
agent_2,data_analysis,0,2,0.942,1.2,10614
agent_2,code_generation,1,3,0.9505,1.5,4752
agent_3,data_analysis,1,2,0.9533,1.2,2869
agent_2,image_analysis,0,0,0.919,1.8,12541
agent_2,code_generation,1,1,0.9731,1.5,3902
agent_2,image_analysis,0,2,0.9629,1.8,15768
agent_2,code_generation,1,2,0.9077,1.5,4922
agent_2,code_generation,1,3,0.9805,1.5,5413
agent_1,image_analysis,0,1,0.9575,1.8,13413
agent_2,image_analysis,0,1,0.9294,1.8,14996
agent_3,code_generation,0,0,0.9428,1.5,8370
agent_3,data_analysis,1,2,0.9193,1.2,2814
agent_3,code_generation,0,0,0.9632,1.5,7929
agent_3,data_analysis,1,1,0.9723,1.2,2566
agent_2,text_processing,1,2,0.9525,1.0,3058
agent_1,text_processing,1,3,0.9506,1.0,3078
agent_3,text_processing,0,1,0.9082,1.0,6378
agent_3,code_generation,0,3,0.9122,1.5,12282
agent_2,code_generation,1,2,0.9687,1.5,5026
agent_1,image_analysis,0,3,0.9694,1.8,16570
agent_1,data_analysis,1,0,0.977,1.2,2358
agent_1,code_generation,0,2,0.9661,1.5,12193
agent_3,data_analysis,1,2,0.964,1.2,2805
agent_1,image_analysis,0,3,0.9415,1.8,16824
agent_3,code_generation,0,2,0.9013,1.5,9768
agent_3,data_analysis,1,2,0.9813,1.2,2584
agent_3,text_processing,0,3,0.9889,1.0,7181
agent_2,code_generation,1,1,0.9798,1.5,4267
agent_1,data_analysis,1,0,0.9739,1.2,2177
agent_1,image_analysis,0,1,0.9273,1.8,12852
agent_3,image_analysis,1,3,0.979,1.8,4479
agent_3,image_analysis,1,2,0.9023,1.8,3976
agent_2,image_analysis,0,3,0.9445,1.8,18763
agent_2,image_analysis,0,2,0.9859,1.8,17179
agent_1,data_analysis,1,2,0.9884,1.2,2897
agent_1,image_analysis,0,0,0.9296,1.8,11420
agent_1,text_processing,1,2,0.9598,1.0,2631
agent_3,data_analysis,1,0,0.9194,1.2,1985
agent_2,text_processing,1,2,0.9175,1.0,3409
agent_3,code_generation,0,2,0.9195,1.5,11075
agent_1,data_analysis,1,1,0.9711,1.2,2530
agent_1,text_processing,1,0,0.9753,1.0,1989
agent_3,code_generation,0,1,0.939,1.5,8706
agent_3,text_processing,0,1,0.9012,1.0,5875
agent_3,image_analysis,1,3,0.9743,1.8,4878
agent_3,text_processing,0,2,0.9373,1.0,6903
agent_2,data_analysis,0,2,0.9748,1.2,10366
agent_3,code_generation,0,2,0.9741,1.5,10076
agent_1,data_analysis,1,3,0.9575,1.2,3246
agent_2,data_analysis,0,3,0.9118,1.2,11424
agent_1,text_processing,1,3,0.9839,1.0,2782
agent_1,text_processing,1,1,0.9041,1.0,2098
agent_3,data_analysis,1,0,0.9752,1.2,2350
agent_1,code_generation,0,0,0.9691,1.5,8743
agent_3,code_generation,0,0,0.9751,1.5,7388
agent_1,text_processing,1,1,0.9677,1.0,2193
agent_2,image_analysis,0,1,0.9231,1.8,13792
agent_2,code_generation,1,0,0.9656,1.5,3612
agent_2,text_processing,1,3,0.9073,1.0,3216
agent_3,image_analysis,1,0,0.9315,1.8,3136
agent_3,image_analysis,1,2,0.904,1.8,4111
agent_2,data_analysis,0,2,0.962,1.2,10539
agent_3,code_generation,0,0,0.9341,1.5,8898
agent_1,image_analysis,0,3,0.9177,1.8,15304
agent_2,code_generation,1,0,0.9713,1.5,3788
agent_1,code_generation,0,2,0.9467,1.5,12380
agent_2,code_generation,1,1,0.9691,1.5,3791
agent_3,code_generation,0,2,0.9773,1.5,9577
agent_3,text_processing,0,1,0.9676,1.0,6199
agent_1,text_processing,1,3,0.9053,1.0,3048
agent_3,text_processing,0,1,0.9054,1.0,5853
agent_2,image_analysis,0,2,0.927,1.8,18382
agent_3,image_analysis,1,1,0.931,1.8,3851
agent_3,text_processing,0,3,0.9721,1.0,7425
agent_1,data_analysis,1,3,0.9793,1.2,3593
agent_2,data_analysis,0,0,0.9321,1.2,8884
agent_1,image_analysis,0,0,0.9743,1.8,10689
agent_1,data_analysis,1,1,0.9874,1.2,2549
agent_3,code_generation,0,3,0.9373,1.5,10737
agent_2,text_processing,1,1,0.9269,1.0,2749
agent_2,code_generation,1,0,0.9417,1.5,3781
agent_2,image_analysis,0,1,0.9175,1.8,15109
agent_2,image_analysis,0,3,0.9688,1.8,19096
agent_2,text_processing,1,1,0.9617,1.0,2498
agent_1,image_analysis,0,1,0.9841,1.8,11344
agent_1,text_processing,1,1,0.9266,1.0,2263
agent_2,data_analysis,0,2,0.9582,1.2,12318
agent_3,code_generation,0,3,0.9555,1.5,11181
agent_2,data_analysis,0,0,0.9786,1.2,8517
agent_1,text_processing,1,2,0.9679,1.0,2731
agent_3,text_processing,0,0,0.9284,1.0,5907
agent_1,text_processing,1,1,0.9774,1.0,2088
agent_3,code_generation,0,2,0.95,1.5,10444
agent_2,data_analysis,0,3,0.9893,1.2,12757
agent_2,image_analysis,0,3,0.9309,1.8,20190
agent_2,text_processing,1,1,0.9163,1.0,2993
agent_1,code_generation,0,3,0.9013,1.5,12590
